setting,seed,eval_time,state_bin,n_eval_cells,mean_g,median_g,std_g,frac_positive
equal_depth,43,4.0,3,20,-0.13817861676216125,-0.19067716598510742,0.23380397260189056,0.15
equal_depth,43,4.0,4,32,-0.3501932621002197,-0.38142716884613037,0.20940764248371124,0.09375
equal_depth,43,4.0,5,0,,,,
equal_depth,43,4.0,6,0,,,,
equal_depth,43,4.0,7,472,0.16543084383010864,0.16822439432144165,0.23577474057674408,0.7478813559322034
equal_depth,44,0.0,0,0,,,,
equal_depth,44,0.0,1,6,0.07420513033866882,0.11685191839933395,0.23435769975185394,0.6666666666666666
equal_depth,44,0.0,2,2,0.2617006301879883,0.2617006301879883,0.08925001323223114,1.0
equal_depth,44,0.0,3,35,0.06421951204538345,0.028813712298870087,0.179456889629364,0.6
equal_depth,44,0.0,4,0,,,,
equal_depth,44,0.0,5,322,-0.4007313847541809,-0.42553842067718506,0.1158766821026802,0.009316770186335404
equal_depth,44,0.0,6,435,-0.008931372314691544,0.006244003772735596,0.17404823005199432,0.5103448275862069
equal_depth,44,0.0,7,0,,,,
equal_depth,44,1.0,0,13,0.1319545954465866,0.12036576867103577,0.10907850414514542,0.9230769230769231
equal_depth,44,1.0,1,152,0.08781886100769043,0.08033111691474915,0.19933977723121643,0.7105263157894737
equal_depth,44,1.0,2,203,0.11020679771900177,0.11446580290794373,0.10458152741193771,0.9064039408866995
equal_depth,44,1.0,3,109,-0.1395168900489807,-0.15332216024398804,0.1839134395122528,0.22935779816513763
equal_depth,44,1.0,4,7,0.708311915397644,0.6517255306243896,0.20700448751449585,1.0
equal_depth,44,1.0,5,6,-0.44300422072410583,-0.45519256591796875,0.09920696914196014,0.0
equal_depth,44,1.0,6,309,-0.0018957271240651608,0.015977248549461365,0.12004649639129639,0.5760517799352751
equal_depth,44,1.0,7,1,0.6919467449188232,0.6919467449188232,0.0,1.0
equal_depth,44,2.0,0,171,0.025632750242948532,0.0012726560235023499,0.13326400518417358,0.5029239766081871
equal_depth,44,2.0,1,334,0.012584080919623375,-0.0021698474884033203,0.09069626778364182,0.49101796407185627
equal_depth,44,2.0,2,128,-0.06316300481557846,-0.0804755687713623,0.07244148850440979,0.171875
equal_depth,44,2.0,3,27,0.003798547200858593,-0.005436047911643982,0.14196902513504028,0.48148148148148145
equal_depth,44,2.0,4,116,0.3365122079849243,0.3303748369216919,0.13400332629680634,1.0
equal_depth,44,2.0,5,0,,,,
equal_depth,44,2.0,6,8,-0.06190123036503792,-0.06131763011217117,0.05018971860408783,0.125
equal_depth,44,2.0,7,16,0.08131888508796692,0.0862734317779541,0.07405877858400345,0.9375
equal_depth,44,3.0,0,132,0.11485469341278076,0.06942637264728546,0.20476698875427246,0.6590909090909091
equal_depth,44,3.0,1,359,-0.10771805047988892,-0.12135371565818787,0.1251964420080185,0.22562674094707522
equal_depth,44,3.0,2,72,-0.13321322202682495,-0.14102768898010254,0.13136132061481476,0.16666666666666666
equal_depth,44,3.0,3,39,0.010586194694042206,-0.019298121333122253,0.13567374646663666,0.4358974358974359
equal_depth,44,3.0,4,141,-0.16899414360523224,-0.17762139439582825,0.0736459344625473,0.028368794326241134
equal_depth,44,3.0,5,0,,,,
equal_depth,44,3.0,6,0,,,,
equal_depth,44,3.0,7,57,0.07031284272670746,0.06447646021842957,0.14214229583740234,0.6842105263157895
equal_depth,44,4.0,0,207,0.5005717873573303,0.46441981196403503,0.35762709379196167,0.9323671497584541
equal_depth,44,4.0,1,41,-0.21470795571804047,-0.26306822896003723,0.18226361274719238,0.12195121951219512
equal_depth,44,4.0,2,28,-0.08884166926145554,-0.099515900015831,0.168067067861557,0.35714285714285715
equal_depth,44,4.0,3,20,-0.18375054001808167,-0.235540971159935,0.2564457952976227,0.15
equal_depth,44,4.0,4,32,-0.32834237813949585,-0.35993635654449463,0.21168182790279388,0.09375
equal_depth,44,4.0,5,0,,,,
equal_depth,44,4.0,6,0,,,,
equal_depth,44,4.0,7,472,0.1563403308391571,0.14895102381706238,0.2384631335735321,0.7309322033898306
