setting,seed,eval_time,state_bin,n_eval_cells,mean_g,median_g,std_g,frac_positive
equal_depth,42,1.0,6,99,0.030434992164373398,0.04706168919801712,0.08274779468774796,0.7373737373737373
equal_depth,42,1.0,7,0,,,,
equal_depth,42,2.0,0,74,0.1000421866774559,0.06663205474615097,0.18450956046581268,0.5945945945945946
equal_depth,42,2.0,1,110,-0.07112486660480499,-0.0844571441411972,0.06313256919384003,0.13636363636363635
equal_depth,42,2.0,2,47,-0.04671695455908775,-0.083840511739254,0.10897989571094513,0.19148936170212766
equal_depth,42,2.0,3,9,-0.02599196508526802,-0.06280535459518433,0.16035914421081543,0.3333333333333333
equal_depth,42,2.0,4,56,0.1237974613904953,0.12541745603084564,0.09978682547807693,0.9285714285714286
equal_depth,42,2.0,5,0,,,,
equal_depth,42,2.0,6,0,,,,
equal_depth,42,2.0,7,4,-0.07914948463439941,-0.08316770195960999,0.02407810278236866,0.0
equal_depth,42,3.0,0,46,0.17821906507015228,0.133421391248703,0.29642343521118164,0.6521739130434783
equal_depth,42,3.0,1,146,-0.14320313930511475,-0.17123520374298096,0.09086064249277115,0.11643835616438356
equal_depth,42,3.0,2,28,-0.13929614424705505,-0.1723209172487259,0.09370352327823639,0.07142857142857142
equal_depth,42,3.0,3,13,-0.09878115355968475,-0.1319454163312912,0.09336575865745544,0.23076923076923078
equal_depth,42,3.0,4,50,0.0576794296503067,0.023158419877290726,0.13412177562713623,0.6
equal_depth,42,3.0,5,0,,,,
equal_depth,42,3.0,6,0,,,,
equal_depth,42,3.0,7,17,0.011337429285049438,-0.010555163025856018,0.12935885787010193,0.4117647058823529
equal_depth,42,4.0,0,80,0.4800402522087097,0.4775599241256714,0.23757554590702057,0.9875
equal_depth,42,4.0,1,17,-0.10421016067266464,-0.16335928440093994,0.11516954004764557,0.17647058823529413
equal_depth,42,4.0,2,5,-0.03129030391573906,-0.08984704315662384,0.12123581767082214,0.4
equal_depth,42,4.0,3,11,0.045459236949682236,0.035255275666713715,0.1830156296491623,0.6363636363636364
equal_depth,42,4.0,4,9,0.041938625276088715,0.03725993633270264,0.09080290049314499,0.6666666666666666
equal_depth,42,4.0,5,0,,,,
equal_depth,42,4.0,6,0,,,,
equal_depth,42,4.0,7,178,0.13003289699554443,0.11819930374622345,0.1735941618680954,0.7303370786516854
equal_depth,43,0.0,0,0,,,,
equal_depth,43,0.0,1,3,0.09161078184843063,0.1046871617436409,0.05428618937730789,1.0
equal_depth,43,0.0,2,2,0.06133950501680374,0.06133950501680374,0.03549642115831375,1.0
equal_depth,43,0.0,3,13,0.01311945728957653,-0.0011089369654655457,0.13891391456127167,0.46153846153846156
equal_depth,43,0.0,4,0,,,,
equal_depth,43,0.0,5,132,-0.3657453656196594,-0.38972270488739014,0.09693968296051025,0.0
equal_depth,43,0.0,6,150,-0.03771091625094414,-0.02842901647090912,0.12684917449951172,0.4533333333333333
equal_depth,43,0.0,7,0,,,,
equal_depth,43,1.0,0,6,0.16691793501377106,0.15829527378082275,0.09743089228868484,1.0
equal_depth,43,1.0,1,58,0.05345503240823746,0.07196492701768875,0.08922015875577927,0.7413793103448276
equal_depth,43,1.0,2,89,0.12614677846431732,0.11709290742874146,0.07401056587696075,0.9438202247191011
equal_depth,43,1.0,3,42,-0.1151624545454979,-0.12479987740516663,0.1557527333498001,0.23809523809523808
equal_depth,43,1.0,4,4,0.1347065567970276,0.1434360146522522,0.06390585750341415,1.0
equal_depth,43,1.0,5,2,-0.31654202938079834,-0.31654202938079834,0.07394599914550781,0.0
equal_depth,43,1.0,6,99,0.013628264889121056,0.01667644828557968,0.0729682594537735,0.6262626262626263
equal_depth,43,1.0,7,0,,,,
equal_depth,43,2.0,0,74,0.12866012752056122,0.05804428830742836,0.21236194670200348,0.6756756756756757
equal_depth,43,2.0,1,110,0.007144642528146505,0.004258450120687485,0.06256695091724396,0.5454545454545454
equal_depth,43,2.0,2,47,0.019963521510362625,0.012377113103866577,0.12701080739498138,0.5106382978723404
equal_depth,43,2.0,3,9,-0.042601387947797775,-0.09532897174358368,0.14478862285614014,0.3333333333333333
equal_depth,43,2.0,4,56,0.13320060074329376,0.12115448713302612,0.06471268832683563,1.0
equal_depth,43,2.0,5,0,,,,
equal_depth,43,2.0,6,0,,,,
equal_depth,43,2.0,7,4,0.05229866877198219,0.04772654175758362,0.061745524406433105,0.75
equal_depth,43,3.0,0,46,0.16496002674102783,0.07040155678987503,0.3370046317577362,0.5652173913043478
equal_depth,43,3.0,1,146,-0.12949763238430023,-0.13941362500190735,0.092769555747509,0.08904109589041095
equal_depth,43,3.0,2,28,-0.1340496987104416,-0.15055857598781586,0.09083838015794754,0.10714285714285714
equal_depth,43,3.0,3,13,-0.15286193788051605,-0.1752382516860962,0.10094223916530609,0.07692307692307693
equal_depth,43,3.0,4,50,0.03370432183146477,0.020408812910318375,0.10049573332071304,0.54
equal_depth,43,3.0,5,0,,,,
equal_depth,43,3.0,6,0,,,,
equal_depth,43,3.0,7,17,0.01263012271374464,-0.01709306240081787,0.1329762488603592,0.4117647058823529
equal_depth,43,4.0,0,80,0.49522724747657776,0.5292481780052185,0.331697016954422,0.925
equal_depth,43,4.0,1,17,-0.11063609272241592,-0.18149080872535706,0.1674121916294098,0.17647058823529413
equal_depth,43,4.0,2,5,-0.011217053048312664,-0.04479701817035675,0.11607573181390762,0.4
equal_depth,43,4.0,3,11,-0.0030946461483836174,-0.10686308145523071,0.2389499545097351,0.36363636363636365
equal_depth,43,4.0,4,9,0.018887192010879517,-0.013633787631988525,0.11712007224559784,0.4444444444444444
equal_depth,43,4.0,5,0,,,,
equal_depth,43,4.0,6,0,,,,
equal_depth,43,4.0,7,178,0.10196810960769653,0.07523888349533081,0.22150270640850067,0.5955056179775281
equal_depth,44,0.0,0,0,,,,
equal_depth,44,0.0,1,3,0.026847146451473236,-0.05204802006483078,0.13686612248420715,0.3333333333333333
equal_depth,44,0.0,2,2,0.0486922413110733,0.0486922413110733,0.05199495702981949,0.5
equal_depth,44,0.0,3,13,0.021229008212685585,0.06556638330221176,0.14338743686676025,0.6153846153846154
equal_depth,44,0.0,4,0,,,,
equal_depth,44,0.0,5,132,-0.3311735689640045,-0.3476129472255707,0.051957614719867706,0.0
equal_depth,44,0.0,6,150,-0.02372884377837181,-0.01317787915468216,0.13396631181240082,0.44666666666666666
equal_depth,44,0.0,7,0,,,,
equal_depth,44,1.0,0,6,0.1750575453042984,0.16246150434017181,0.08726368099451065,1.0
equal_depth,44,1.0,1,58,-0.01214723102748394,-0.008016567677259445,0.09484770894050598,0.4827586206896552
equal_depth,44,1.0,2,89,0.15055574476718903,0.14417392015457153,0.09043854475021362,0.9662921348314607
equal_depth,44,1.0,3,42,-0.13100089132785797,-0.1573108732700348,0.1585199385881424,0.11904761904761904
equal_depth,44,1.0,4,4,0.15106964111328125,0.169387549161911,0.06342543661594391,1.0
equal_depth,44,1.0,5,2,-0.319223016500473,-0.319223016500473,0.028191447257995605,0.0
equal_depth,44,1.0,6,99,0.02872251346707344,0.050879888236522675,0.0966539978981018,0.7171717171717171
equal_depth,44,1.0,7,0,,,,
equal_depth,44,2.0,0,74,0.12262808531522751,0.06416682153940201,0.2115437239408493,0.6891891891891891
equal_depth,44,2.0,1,110,-0.03442511707544327,-0.03591080754995346,0.05266798287630081,0.20909090909090908
equal_depth,44,2.0,2,47,0.010724757798016071,-0.0046297237277030945,0.12845006585121155,0.46808510638297873
equal_depth,44,2.0,3,9,-0.024589357897639275,-0.1448708474636078,0.22425559163093567,0.3333333333333333
equal_depth,44,2.0,4,56,0.1104700118303299,0.08522222191095352,0.1349654495716095,0.8392857142857143
equal_depth,44,2.0,5,0,,,,
equal_depth,44,2.0,6,0,,,,
equal_depth,44,2.0,7,4,0.009941739961504936,0.020320303738117218,0.043459877371788025,0.75
equal_depth,44,3.0,0,46,0.19318558275699615,0.10629881918430328,0.3300423324108124,0.6304347826086957
equal_depth,44,3.0,1,146,-0.12355582416057587,-0.14261209964752197,0.08346466720104218,0.1095890410958904
equal_depth,44,3.0,2,28,-0.1344127655029297,-0.16286134719848633,0.08389271050691605,0.07142857142857142
equal_depth,44,3.0,3,13,-0.11795865744352341,-0.14866021275520325,0.10365398228168488,0.15384615384615385
