pair_id,source_idx,target_idx,source_graph_node,target_graph_node,euclidean_distance,graph_path_num_nodes,graph_path_length,straight_path_length,path_length_ratio,used_fallback,straight_mid_knn_radius,graph_mid_knn_radius,straight_minus_graph_mid_knn_radius,straight_mid_density_percentile,graph_mid_density_percentile,straight_minus_graph_density_percentile,k_graph,n_components,n_edges_undirected,graph_density,largest_component_fraction,graph_k_grid_tried,graph_components_by_k,graph_selection_note,candidate_set_size,selected_for_figure,selected_rank,selected_reason
1189,336,310,1936,3510,1.621029257774353,16,2.2385048866271973,1.621029257774353,1.3809157829147565,False,0.017023014759373494,0.27987547563537635,-0.26285246087600284,17.299999999999997,100.0,-82.7,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1190,195,659,1795,3859,1.3582801818847656,12,1.9908684492111206,1.3582801818847656,1.465727377725977,False,0.017623461642787858,0.3256741118856539,-0.30805065024286604,21.0,100.0,-79.0,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1191,658,537,2258,3737,1.3203765153884888,10,1.9436768293380737,1.3203765153884888,1.472062556918618,False,0.016153504936728343,0.30753479492859087,-0.2913812899918625,12.85,100.0,-87.15,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1192,121,483,1721,3683,1.4332619905471802,12,2.0797762870788574,1.4332619905471802,1.4510789379720144,False,0.020738241388428717,0.2546742960168232,-0.23393605462839445,40.125,100.0,-59.875,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1193,291,558,1891,3758,1.5163657665252686,5,1.5170111656188965,1.5163657665252686,1.0004256223055648,False,0.04272522636993162,0.0452002781969847,-0.0024750518270530847,83.35000000000001,84.95,-1.5999999999999943,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1194,624,608,2224,3808,1.486615538597107,12,2.0353426933288574,1.486615538597107,1.3691116771519654,False,0.014451229250617297,0.27926952228708535,-0.26481829303646803,5.575,100.0,-94.425,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1195,153,109,1753,3309,1.5076690912246704,16,2.2319018840789795,1.5076690912246704,1.4803658820557362,False,0.025874645322075777,0.3045093577795009,-0.2786347124574251,59.875,100.0,-40.125,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1196,618,281,2218,3481,1.4173623323440552,14,2.1003947257995605,1.4173623323440552,1.4819038702163732,False,0.018540523791898845,0.31284857755525086,-0.294308053763352,27.175,100.0,-72.825,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1197,49,387,1649,3587,1.6405727863311768,13,2.297245979309082,1.6405727863311768,1.4002706850004671,False,0.05966354928651784,0.19721764355504626,-0.1375540942685284,91.45,100.0,-8.549999999999997,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1198,285,388,1885,3588,1.6319624185562134,14,2.213301181793213,1.6319624185562134,1.3562206804684303,False,0.0270991828998445,0.2204891073586881,-0.1933899244588436,62.949999999999996,100.0,-37.050000000000004,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1199,153,256,1753,3456,1.449271321296692,14,2.119213581085205,1.449271321296692,1.462261448180112,False,0.020495347245065527,0.2664334560362333,-0.2459381087911678,38.824999999999996,100.0,-61.175000000000004,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1200,669,267,2269,3467,1.5474573373794556,7,1.5488349199295044,1.5474573373794556,1.0008902232822663,False,0.05203988791801982,0.05280262172504288,-0.000762733807023061,88.2,88.625,-0.42499999999999716,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1201,231,5,1831,3205,1.238351821899414,9,1.9094051122665405,1.238351821899414,1.5418922785108424,False,0.015732453730554583,0.3189622284499726,-0.303229774719418,11.0,100.0,-89.0,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1202,414,427,2014,3627,1.2401237487792969,11,2.030755043029785,1.2401237487792969,1.6375422573986975,False,0.01811413550485786,0.3223767337481261,-0.30426259824326823,24.25,100.0,-75.75,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1203,669,709,2269,3909,1.5025980472564697,6,1.503905177116394,1.5025980472564697,1.000869913189566,False,0.04951958264055045,0.05801045222350817,-0.008490869582957715,86.95,90.925,-3.9749999999999943,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1204,367,106,1967,3306,1.544966697692871,17,2.1710681915283203,1.544966697692871,1.4052524205022794,False,0.02074512296975188,0.29696934208760867,-0.2762242191178568,40.150000000000006,100.0,-59.849999999999994,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1205,493,77,2093,3277,1.57744300365448,8,1.5776269435882568,1.57744300365448,1.0001166063898035,False,0.058301519826863844,0.06191031041653988,-0.0036087905896760378,91.05,92.25,-1.2000000000000028,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1206,522,696,2122,3896,1.3720238208770752,11,2.0168955326080322,1.3720238208770752,1.4700149530339193,False,0.03348147124236331,0.3073821022043128,-0.2739006309619495,74.675,100.0,-25.325000000000003,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1207,540,134,2140,3334,1.367214322090149,5,1.3688714504241943,1.367214322090149,1.001212047231565,False,0.05649962982037144,0.05172156332766113,0.0047780664927103075,90.17500000000001,88.05,2.125000000000014,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1208,547,737,2147,3937,1.454055666923523,12,2.026202917098999,1.454055666923523,1.3934837318752862,False,0.014558938464892307,0.267044387554069,-0.2524854490891767,5.775,100.0,-94.225,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1209,687,500,2287,3700,1.3274742364883423,9,1.8907835483551025,1.3274742364883423,1.4243467002093544,False,0.024624075630432743,0.3107073966688401,-0.2860833210384074,56.15,100.0,-43.85,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1210,270,253,1870,3453,1.5258389711380005,13,2.1265623569488525,1.5258389711380005,1.3937003820021852,False,0.01939024802378508,0.30255884661003607,-0.283168598586251,32.9,100.0,-67.1,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1211,728,40,2328,3240,1.3807615041732788,7,1.3811954259872437,1.3807615041732788,1.0003142626823338,False,0.054747376280468926,0.05663220353125215,-0.0018848272507832262,89.525,90.225,-0.6999999999999886,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1212,182,738,1782,3938,1.2919330596923828,10,1.9338008165359497,1.2919330596923828,1.4968274106991268,False,0.013676857537080844,0.29519053624931874,-0.28151367871223787,3.2,100.0,-96.8,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1213,311,598,1911,3798,1.621543526649475,14,2.1441776752471924,1.621543526649475,1.3223065801246874,False,0.018122461752767847,0.27903849165120603,-0.2609160298984382,24.25,100.0,-75.75,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1214,12,229,1612,3429,1.6209332942962646,9,1.622283935546875,1.6209332942962646,1.0008332491258973,False,0.05578391959615777,0.054379188451892956,0.0014047311442648147,89.95,89.325,0.625,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1215,581,320,2181,3520,1.4525947570800781,6,1.4545495510101318,1.4525947570800781,1.0013457255855605,False,0.05318517930785391,0.05000955144765431,0.0031756278601995994,88.9,87.25,1.6500000000000057,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1216,262,711,1862,3911,1.3495782613754272,5,1.3501800298690796,1.3495782613754272,1.0004458937364915,False,0.07356511086099367,0.06685343358912486,0.0067116772718688045,94.925,93.35,1.5750000000000028,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1217,36,329,1636,3529,1.3567475080490112,12,2.037243127822876,1.3567475080490112,1.5015639356157067,False,0.026532240411877937,0.2758140194994863,-0.24928177908760837,61.7,100.0,-38.3,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1218,693,21,2293,3221,1.480224609375,14,2.068443775177002,1.480224609375,1.39738507391143,False,0.01582170102339155,0.32571922681837606,-0.30989752579498453,11.25,100.0,-88.75,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1219,358,328,1958,3528,1.2686336040496826,9,1.8842628002166748,1.2686336040496826,1.4852695011402857,False,0.0159301682616436,0.272385479638685,-0.25645531137704136,11.675,100.0,-88.325,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1220,551,180,2151,3380,1.4345457553863525,12,2.0177555084228516,1.4345457553863525,1.40654663739145,False,0.015854743756508506,0.3182077774564498,-0.30235303369994126,11.4,100.0,-88.6,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1221,675,194,2275,3394,1.321366786956787,5,1.3223940134048462,1.321366786956787,1.0007773969031148,False,0.06155468231191778,0.06234726326764978,-0.0007925809557319946,92.10000000000001,92.35,-0.2499999999999858,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1222,789,451,2389,3651,1.325606346130371,11,1.9937635660171509,1.325606346130371,1.5040389417546343,False,0.01865335979770195,0.3221199381121924,-0.3034665783144905,27.925,100.0,-72.075,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1223,591,97,2191,3297,1.5034805536270142,16,2.1611857414245605,1.5034805536270142,1.4374550679826823,False,0.021032911226700972,0.2901403102688735,-0.2691073990421725,41.75,100.0,-58.25,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
1224,203,431,1803,3631,1.4554458856582642,11,2.0565786361694336,1.4554458856582642,1.413023085526324,False,0.029975254375582513,0.32608474113339864,-0.2961094867578161,69.1,100.0,-30.900000000000006,100,1,247220,0.0309025,1.0,"8,12,20,30,50,80,100",8:4;12:4;20:4;30:4;50:4;80:3;100:1,selected k=100 with 1 connected component(s); smaller grid entries are retained in graph_components_by_k,3000,False,,
