setting,seed,eval_time,state_bin,n_eval_cells,mean_g,median_g,std_g,frac_positive
raw_observed_depth,11,3.0,4,19,0.01696520484983921,-0.013555828481912613,0.06629572808742523,0.42105263157894735
raw_observed_depth,11,3.0,5,0,,,,
raw_observed_depth,11,3.0,6,0,,,,
raw_observed_depth,11,3.0,7,6,0.03131292387843132,0.023027902469038963,0.06593237072229385,0.5
raw_observed_depth,11,4.0,0,31,0.16310206055641174,0.17467980086803436,0.09599228203296661,0.9032258064516129
raw_observed_depth,11,4.0,1,4,0.007953808642923832,0.0056322189047932625,0.023951033130288124,0.5
raw_observed_depth,11,4.0,2,4,0.011671125888824463,0.014782102778553963,0.05700962245464325,0.5
raw_observed_depth,11,4.0,3,2,0.006203094497323036,0.006203094497323036,0.017711205407977104,0.5
raw_observed_depth,11,4.0,4,10,0.05922917276620865,0.059785395860672,0.06190589815378189,0.7
raw_observed_depth,11,4.0,5,0,,,,
raw_observed_depth,11,4.0,6,0,,,,
raw_observed_depth,11,4.0,7,69,0.06430115550756454,0.060298845171928406,0.07165555655956268,0.8405797101449275
equal_depth,42,0.0,0,0,,,,
equal_depth,42,0.0,1,1,0.01263178139925003,0.01263178139925003,0.0,1.0
equal_depth,42,0.0,2,0,,,,
equal_depth,42,0.0,3,10,-0.0892832800745964,-0.09292680770158768,0.02889752760529518,0.0
equal_depth,42,0.0,4,0,,,,
equal_depth,42,0.0,5,53,-0.14537692070007324,-0.14717227220535278,0.012184709310531616,0.0
equal_depth,42,0.0,6,56,-0.07253576815128326,-0.0718756690621376,0.03684743493795395,0.017857142857142856
equal_depth,42,0.0,7,0,,,,
equal_depth,42,1.0,0,0,,,,
equal_depth,42,1.0,1,22,-0.029205072671175003,-0.03622167557477951,0.02405673637986183,0.13636363636363635
equal_depth,42,1.0,2,33,-0.02150529995560646,-0.01978500932455063,0.02106117457151413,0.15151515151515152
equal_depth,42,1.0,3,18,-0.053319014608860016,-0.06422122567892075,0.03392336145043373,0.1111111111111111
equal_depth,42,1.0,4,1,0.024411238729953766,0.024411238729953766,0.0,1.0
equal_depth,42,1.0,5,0,,,,
equal_depth,42,1.0,6,45,-0.038751907646656036,-0.03910712152719498,0.025970159098505974,0.08888888888888889
equal_depth,42,1.0,7,1,0.0679587796330452,0.0679587796330452,0.0,1.0
equal_depth,42,2.0,0,31,0.020387742668390274,0.019877061247825623,0.04032623767852783,0.6451612903225806
equal_depth,42,2.0,1,51,-0.026152335107326508,-0.028295673429965973,0.023676712065935135,0.09803921568627451
equal_depth,42,2.0,2,18,-0.006340306252241135,-0.019233576953411102,0.03722664713859558,0.2777777777777778
equal_depth,42,2.0,3,5,-0.04107401520013809,-0.04864427074790001,0.02485618181526661,0.0
equal_depth,42,2.0,4,15,0.06683587282896042,0.05446819216012955,0.04147275164723396,1.0
equal_depth,42,2.0,5,0,,,,
equal_depth,42,2.0,6,0,,,,
equal_depth,42,2.0,7,0,,,,
equal_depth,42,3.0,0,22,0.10550885647535324,0.089227095246315,0.08144864439964294,0.9545454545454546
equal_depth,42,3.0,1,55,0.007586989551782608,0.006559975445270538,0.035648901015520096,0.6181818181818182
equal_depth,42,3.0,2,12,-0.0011130130151286721,0.007449492812156677,0.0353703536093235,0.6666666666666666
equal_depth,42,3.0,3,6,0.054791588336229324,0.06484045088291168,0.03355614095926285,1.0
equal_depth,42,3.0,4,19,0.08576078712940216,0.0753331407904625,0.03944607451558113,1.0
equal_depth,42,3.0,5,0,,,,
equal_depth,42,3.0,6,0,,,,
equal_depth,42,3.0,7,6,0.0691017135977745,0.06997164338827133,0.05195559933781624,1.0
equal_depth,42,4.0,0,31,0.23185652494430542,0.23395827412605286,0.09445026516914368,1.0
equal_depth,42,4.0,1,4,0.08356156945228577,0.0807475745677948,0.023832472041249275,1.0
equal_depth,42,4.0,2,4,0.08770503848791122,0.0825381726026535,0.01263977400958538,1.0
equal_depth,42,4.0,3,2,0.07933421432971954,0.07933421432971954,0.018685422837734222,1.0
equal_depth,42,4.0,4,10,0.15023007988929749,0.1459980010986328,0.040234316140413284,1.0
equal_depth,42,4.0,5,0,,,,
equal_depth,42,4.0,6,0,,,,
equal_depth,42,4.0,7,69,0.11667650938034058,0.10754439979791641,0.051139891147613525,1.0
