cell_index,endpoint_distance_20d,path_length_20d,straightness_ratio_20d,quantile_group
45,5.601407532990929,6.236039221879714,1.113298610242329,upper_quantile
46,10.158718380984565,12.073342126837954,1.1884709934904039,upper_quantile
47,11.884003447208917,12.270800341195185,1.0325476928464803,middle
48,13.53152552100426,13.730086128488152,1.0146739262454685,lower_quantile
49,14.334245431693164,14.536847682552466,1.0141341413348028,lower_quantile
50,7.363111906949178,7.783988134138047,1.0571601019389172,middle
51,5.805500602231277,6.729712796520762,1.1591959518416508,upper_quantile
52,10.884411178860272,11.438705059611795,1.0509254815573372,middle
53,9.060103606131298,10.090474943520704,1.1137262201606741,upper_quantile
54,13.203737834530362,13.4031309709849,1.0151012644262813,lower_quantile
55,8.232933128282017,8.576991700117631,1.0417905218558976,middle
56,8.471431393603234,9.454967643780057,1.11610036184906,upper_quantile
57,13.429787059627667,13.748700047534646,1.0237466898388647,lower_quantile
58,8.404876954649573,9.078582381538233,1.0801564889675115,middle
59,9.242425011889331,10.4168099372023,1.1270645878979009,upper_quantile
60,6.528599147647795,7.408561212094718,1.1347857395661927,upper_quantile
61,11.837892441888801,12.234227487238666,1.0334802032790413,middle
62,10.677748427627137,11.299456704913561,1.0582246605171783,middle
63,9.809034653634319,10.724275277942246,1.093305881427264,upper_quantile
64,9.083992398090567,9.38868586704591,1.0335418014021442,middle
65,9.10112462109792,9.57636854217797,1.052218153345396,middle
66,14.107317797847369,14.494756133763696,1.0274636427326707,middle
67,7.27211572674571,7.851116435874626,1.0796192924982535,middle
68,6.230304815232713,7.001150453727199,1.1237251886311912,upper_quantile
69,16.19370012905363,16.50304941902125,1.0191030640003396,lower_quantile
70,19.867826518141005,20.010572404544074,1.0071847761642538,lower_quantile
71,12.640965293263898,12.883417509675283,1.0191798815032411,lower_quantile
72,13.935392112223507,14.413820404454848,1.0343318859188528,middle
73,17.959582031603013,18.177469258441256,1.0121320878434048,lower_quantile
74,12.521420570775813,12.843065437042114,1.0256875699085612,middle
75,6.704835665825575,7.774524088512958,1.1595398419889045,upper_quantile
76,7.922055753295348,8.259337768394962,1.0425750620297407,middle
77,8.495239296110888,8.97107206167611,1.0560116965490376,middle
78,7.316212489010866,7.801241546071385,1.0662951025259373,middle
79,11.265197119005826,11.708194467435849,1.0393244204917311,middle
80,12.874826905686291,13.025395470797186,1.011694803061344,lower_quantile
81,10.550269139929643,11.511659221428005,1.0911246972704975,middle
82,11.555952232427133,11.99386975436681,1.0378954077631817,middle
83,9.02535073977697,9.742399015077638,1.0794482448355671,middle
84,15.078848449018716,15.218579028182527,1.0092666611536176,lower_quantile
85,15.09761345953901,15.9877916830211,1.0589615190419155,middle
86,14.362466672687821,14.617156763272723,1.0177330326599976,lower_quantile
87,14.113689149366502,14.348223503643197,1.0166175088451075,lower_quantile
88,9.598066136797282,10.261564166077582,1.0691283035377894,middle
89,10.467372386517276,11.578795835073015,1.1061797944618204,upper_quantile
90,10.843144323855505,11.114753719683815,1.0250489514587346,lower_quantile
91,6.862468862048745,7.624509704779112,1.1110447068029194,upper_quantile
92,19.048966000553964,19.35516832018397,1.016074485072896,lower_quantile
93,13.699971511912397,13.853703349055102,1.0112213253150952,lower_quantile
94,10.906990763454214,11.41084269197605,1.0461953199969767,middle
95,5.990853543729339,6.617503400065173,1.1046010976168417,upper_quantile
96,9.394894813669453,9.902063549108966,1.0539834394634828,middle
97,9.756838807562364,10.169670591909128,1.0423120431206454,middle
98,13.493189544703373,13.712358558829626,1.0162429359937573,lower_quantile
99,16.33644978107793,16.502801821169715,1.0101828758586497,lower_quantile
100,9.521020068099842,10.5099250221501,1.1038654416204394,upper_quantile
101,12.353158818305733,12.962988830606289,1.0493663217052525,middle
102,16.638421403136245,16.921665548344603,1.0170234987049294,lower_quantile
103,10.224222015527424,10.656865533444659,1.0423155441323735,middle
104,8.42515367857602,8.89310381255072,1.0555420294783027,middle
105,6.30330515046577,8.847334436872966,1.4036024316892244,upper_quantile
106,6.563316352329528,7.300231925624504,1.1122779298964345,upper_quantile
107,8.885027882267073,9.68733471658906,1.0902987413155167,middle
108,14.036741381734423,14.436813173107451,1.0285017569600328,middle
109,7.814306220857934,8.389710773842904,1.0736347587005357,middle
110,12.034395437319871,12.478095766479264,1.036869349313837,middle
111,6.838079934607317,7.341605974556662,1.0736355884640971,middle
112,13.992393926401288,14.642601557678326,1.0464686482311083,middle
113,6.48076289499978,7.354241489018252,1.1347802115538592,upper_quantile
114,13.220012222083593,13.54013235180148,1.0242148134464761,lower_quantile
115,12.171288759366647,12.806887535337792,1.0522211565707869,middle
116,11.764597844601692,12.21231065556122,1.0380559384071906,middle
117,12.73993942226368,12.93426165264983,1.0152529948491407,lower_quantile
118,9.727094951529175,10.349405639724646,1.063977034386576,middle
119,7.435139615406646,8.133891174430547,1.0939796150668093,upper_quantile
120,14.96015127269941,15.233290818571437,1.0182578064147303,lower_quantile
121,7.986822812621633,8.863920572933317,1.1098181067602502,upper_quantile
122,13.386374826639932,13.801693751111557,1.031025496435757,middle
123,6.932411885629546,7.565312379097671,1.0912958583404555,middle
124,8.189969801485242,8.778250133659009,1.071829365239794,middle
125,17.739761919037463,17.898097028218416,1.0089254359727926,lower_quantile
126,12.618415804180446,13.060783174752453,1.0350572827395221,middle
127,15.536238274040539,16.209765142804592,1.043351991446311,middle
128,7.486319859890594,8.690278073586452,1.1608211025214534,upper_quantile
129,12.913961141684382,13.047313804497831,1.010326240055269,lower_quantile
130,12.917060339966113,13.165583135023475,1.0192398880640372,lower_quantile
131,5.9731921327181094,6.748091164380081,1.1297294669993065,upper_quantile
132,7.70766907326864,8.06211050270007,1.0459855536170704,middle
133,8.529472447476438,8.96104331778397,1.0505976041267615,middle
134,6.96565670068768,7.694546260563732,1.1046404655291284,upper_quantile
135,8.056395150102789,8.542530642899901,1.0603415651466537,middle
136,16.35140356010673,16.761086876432525,1.0250549327352743,lower_quantile
137,10.143763641019532,10.595897905432855,1.0445726340255972,middle
138,15.406551314264474,15.923990765862944,1.0335856767062066,middle
139,16.589648590898797,16.82585855588756,1.014238394725151,lower_quantile
140,14.941951873947662,15.478824519050782,1.0359305564381582,middle
141,18.463117887468545,18.90166587178197,1.0237526503912473,lower_quantile
142,7.791112918810482,8.419264524484774,1.0806241177890918,middle
143,12.809627574308413,12.965493168172847,1.0121678474225937,lower_quantile
144,16.23100250042005,16.486550903019758,1.0157444620314175,lower_quantile
145,13.068391871998463,13.735254249323948,1.0510286486552616,middle
146,9.86918258546171,10.166468520754764,1.0301226502518037,middle
147,7.745789779251394,8.506104196444072,1.0981584110673037,upper_quantile
148,11.21710512591857,11.775022802602267,1.049738116066556,middle
149,6.406744054559651,8.536736604428759,1.3324610023016608,upper_quantile
150,16.75423556316784,16.900057330128547,1.008703576263502,lower_quantile
151,11.385649021264596,11.878878667265205,1.0433202925085272,middle
152,9.853177267426284,10.848689885219352,1.1010346805678757,upper_quantile
153,16.682835354327207,17.020237484744964,1.0202245076002767,lower_quantile
154,16.02162360593004,16.423645484357763,1.0250924555660468,middle
155,18.68714106853084,18.886120398295166,1.0106479278469946,lower_quantile
156,9.893295477468529,10.960383461098049,1.107859710251226,upper_quantile
157,12.22940722950454,12.469538592539644,1.0196355684726701,lower_quantile
158,9.89933457934368,10.443843944836422,1.0550046431028743,middle
159,13.977512807601823,14.380724447337121,1.028847166537097,middle
160,7.750029169634646,8.713088860673354,1.1242652988729471,upper_quantile
161,10.09850267803521,10.409274873771325,1.0307740865793957,middle
162,12.205729330510229,12.562974247855806,1.0292686252227947,middle
163,9.85233618422922,10.493845366080937,1.065112392619995,middle
164,12.609389372193434,13.149735548302488,1.04285268383421,middle
165,10.37114641875406,10.765558137996003,1.0380297127546798,middle
166,6.167394146386635,6.7351399379334165,1.0920560252954505,upper_quantile
167,11.931474801101785,12.624090283512968,1.0580494443442334,middle
168,15.612494581581608,16.284947193852208,1.0430714392729978,middle
169,7.927168412206616,8.20225111886428,1.0347012567859766,middle
170,16.741527412112298,16.934721362966403,1.0115398043498907,lower_quantile
171,7.079820429297681,8.538619204632948,1.2060502508366557,upper_quantile
172,13.243137053284702,13.479378838040907,1.0178388084187053,lower_quantile
173,8.483052144621924,8.93597057616018,1.0533909757734303,middle
174,9.033142871329359,9.906272028026454,1.0966584021900454,upper_quantile
175,6.460515891400527,7.970086398927735,1.2336609851136764,upper_quantile
176,8.139315272932913,8.822315290548458,1.0839136947903767,middle
177,15.845900301032628,15.960532112186673,1.0072341620845977,lower_quantile
178,6.943429123013062,7.8592102632199605,1.131891767595303,upper_quantile
179,13.752999918007774,14.05321518066441,1.0218290747070784,lower_quantile
