pert_id,canonical_smiles
BRD-A04438777,Oc1cc2C(CN(CC=C)CCc2c(Cl)c1O)c3ccccc3
BRD-A04553218,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
BRD-A04668240,CCOC(OCC)P(=O)(O)CCCNCc1ccc(Cl)c(Cl)c1
BRD-A04706586,CCCC(=O)Nc1ncnc2n(cnc12)C3OC4COP(=O)(O)OC4C3OC(=O)CCC
BRD-A04756508,CC[C@]12CCC3C(CCC4=C\C(CCC34)=N\O)C1CC[C@@]2(OC(C)=O)C#C
BRD-A04831598,NC1CCc2ccccc2C1
BRD-A05186015,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
BRD-A05352148,CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1
BRD-A05457250,COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1C(F)(F)F)[N+]([O-])=O
BRD-A05565054,CCC1CCCCN1C(=O)n1cc(nn1)C(O)(c1ccccc1)c1ccccc1
BRD-A05581237,NCCCC1(OCc2cc(ccc12)[N+]#[C-])c1ccc(F)cc1
BRD-A05680309,CNC(C)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)NC2CCCc3ccccc23
BRD-A05729358,CCOC(=O)C12CC1\C(=N/O)c1ccccc1O2
BRD-A05831822,COc1ccc(cc1COc1ccc(NC(C)=O)cc1)C1NC(=O)c2ccccc2N1
BRD-A05874290,NC(C(OCc1ccccc1)C(=O)O)C(=O)O
BRD-A06131576,CC(C)C1CCC(C)C(C(O)c2ccc(cc2)c3ccccc3)C1=O
BRD-A06276885,Oc1ccc2CC3N(CC4CC4)CCC5(C6Oc1c25)C3(O)Cc7c6n(Cc8ccccc8)c9ccccc79
BRD-A06304526,COC1CC(C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O
BRD-A06352418,CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1
BRD-A06352508,O=C1NC(=O)c2c1c1c3ccccc3n3C4CCC(O4)n4c5ccccc5c2c4c13
BRD-A06390036,CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
BRD-A06641369,CC(C)Oc1cccc(c1)C(=O)C2CCCN(Cc3cnn(c3)C(C)C)C2
BRD-A06664848,CC(Sc1nc2cc(Cl)ccc2s1)C(=O)Nc3cccc(c3)S(=O)(=O)N4CCOCC4
BRD-A06726973,CCCC(=O)Nc1nc2n(cnc2c(=O)[nH]1)C3O[C@H]4COP(=O)(O)O[C@@H]4[C@@H]3OC(=O)CCC
BRD-A06779035,COc1cc(cc(OC)c1OC)C(O)CN
BRD-A06784547,CCOC(=O)C1=C(C)NC(=C(C1C#Cc2ccccc2)C(=O)OCc3ccc(cc3)[N+](=O)[O-])c4ccccc4
BRD-A06909528,O=C1N(Cc2ccccc2)c2ccccc2C11NNc2ccccc2O1
BRD-A06929388,CCN(CC)CC(C(=O)c1ccc(F)cc1)c1ccccc1
BRD-A07000685,C[C@]12C[C@H](O)C3C(CCC4=CC(=O)CC[C@]34C)C1CC[C@]2(O)C(=O)COC(=O)CCC(O)=O
BRD-A07029265,CC(C)[N+]1(C)C2CC[C@@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3
BRD-A07106394,NC(Cc1c[nH]c2ccccc12)C(=O)O
BRD-A07395371,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
BRD-A07440155,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O
BRD-A07614565,CCOc1ccc(cc1)C(Nc2cccnc2)c3cc(Cl)c4cccnc4c3O
BRD-A07765530,CNCC(O)c1ccc(O)c(O)c1
BRD-A07780951,CC(C)NCC(O)c1cc(O)cc(O)c1
BRD-A07824748,O=C1CC(Oc2ccccc12)c3ccccc3
BRD-A07875874,COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCC=Cc3ccccc3)C
BRD-A07893380,NC(CCC(O)=O)C=C
BRD-A07932845,CSc1ccc2Sc3ccccc3CC(N3CCN(C)CC3)c2c1
BRD-A08003242,CCC(C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)C(C)CC)c(O)c3c2c1O
